number for sorting purposes,protein name,family,gene ID,synonym,clone,all gene IDs,subgenome
680006,ZmBAF60_6,SWI/SNF-BAF60,Zm00001eb110350,,,Zm00001d007039 Zm00001eb110350 GRMZM2G052416,
680007,ZmBAF60_7,SWI/SNF-BAF60,Zm00001eb214330,,pUT6673,Zm00001eb214330 GRMZM2G077088 Zm00001d013221,2
680008,ZmBAF60_8,SWI/SNF-BAF60,Zm00001eb220400,,,Zm00001eb220400 Zm00001d013863 GRMZM2G078379 Zm00001d013864,
680009,ZmBAF60_9,SWI/SNF-BAF60,Zm00001eb433030,,pUT5557,Zm00001d026541 Zm00001eb433030 GRMZM2G124502,2
680010,ZmBAF60_10,SWI/SNF-BAF60,Zm00001eb264760,,pUT6290,Zm00001d035321 GRMZM2G143788 Zm00001eb264760,1
680011,ZmBAF60_11,SWI/SNF-BAF60,Zm00001eb083300,,pUT5299,Zm00001eb083300 Zm00001d003724 GRMZM2G148198,1
680012,ZmBAF60_12,SWI/SNF-BAF60,Zm00001eb214210,,,Zm00001eb214210 GRMZM2G171588 Zm00001d013204,
680013,ZmBAF60_13,SWI/SNF-BAF60,Zm00001eb145560,,,Zm00001eb145560 GRMZM2G312672 Zm00001d042605,1
680014,ZmBAF60_14,SWI/SNF-BAF60,Zm00001eb208960,,pUT6308,Zm00001eb208960 Zm00001d053979 GRMZM2G324162 Zm00001d053980 GRMZM2G023399 GRMZM6G910222 Zm00001eb208950,2
680015,ZmBAF60_15,SWI/SNF-BAF60,Zm00001eb199700,,,Zm00001eb199700 Zm00001eb199690 Zm00001d052872 Zm00001d052873 Zm00001d052871 GRMZM2G332809,2
680016,ZmBAF60_16,SWI/SNF-BAF60,Zm00001eb371050,,,GRMZM2G350447 Zm00001eb371050 Zm00001d012755,2
680017,ZmBAF60_17,SWI/SNF-BAF60,Zm00001eb404070,,,GRMZM2G393471 Zm00001eb404070 Zm00001d048510,
680018,ZmBAF60_18,SWI/SNF-BAF60,Zm00001eb349090,,,GRMZM2G408096 Zm00001d010235 Zm00001eb349090,2
680019,ZmBAF60_19,SWI/SNF-BAF60,Zm00001eb000870,,,Zm00001d027334 GRMZM2G436226 Zm00001eb000870,
680020,ZmBAF60_20,SWI/SNF-BAF60,Zm00001eb152970,,,Zm00001d043434 GRMZM2G443814 Zm00001eb152970,
680021,ZmBAF60_21,SWI/SNF-BAF60,Zm00001eb231130,,pUT5336,Zm00001eb231130 GRMZM2G524937 Zm00001d015127 Zm00001eb231120,1
680022,ZmBAF60_22,SWI/SNF-BAF60,Zm00001eb058450,nan,,GRMZM5G886709 GRMZM5G817934 Zm00001d034159 Zm00001eb058450,
680023,ZmBAF60_23,SWI/SNF-BAF60,Zm00001eb085720,,,GRMZM5G859148 Zm00001eb085720,
680024,ZmBAF60_24,SWI/SNF-BAF60,Zm00001eb058450,nan,,GRMZM5G886709 GRMZM5G817934 Zm00001d034159 Zm00001eb058450,
680025,ZmBAF60_25,SWI/SNF-BAF60,Zm00001eb153160,,,Zm00001eb153160 Zm00001d043457,
680026,ZmBAF60_26,SWI/SNF-BAF60,Zm00001eb329130,,,Zm00001eb329130 Zm00001d022322,
680027,ZmBAF60_27,SWI/SNF-BAF60,Zm00001eb317150,,,Zm00001d020979 Zm00001eb317150,
680028,ZmBAF60_28,SWI/SNF-BAF60,Zm00001eb121850,,,Zm00001d039550 Zm00001eb121850,
680029,ZmBAF60_29,SWI/SNF-BAF60,Zm00001eb377890,,,Zm00001eb377890 Zm00001d045433,
690001,ZmSWI3_1,SWI/SNF-SWI3,Zm00001eb074140,nan,,GRMZM2G019863 Zm00001d002684 Zm00001eb074140,1
690002,ZmSWI3_2,SWI/SNF-SWI3,Zm00001eb021760,PZA00752,pUT4541,GRMZM2G030529 Zm00001d029714 Zm00001eb021760,1
690003,ZmSWI3_3,SWI/SNF-SWI3,Zm00001eb255360,,,Zm00001d018102 GRMZM2G059958 Zm00001eb255360,1
690004,ZmSWI3_4,SWI/SNF-SWI3,Zm00001eb416560,,pUT4441,Zm00001eb416560 GRMZM2G149786 Zm00001d024647,
700001,ZmSIG1,Sigma70-like,Zm00001eb012130,SIG1,,Zm00001eb012130 Zm00001d028585 GRMZM2G100086,1
700002,ZmSIG2,Sigma70-like,,SIG2,,GRMZM2G164084,
700003,ZmSIG3,Sigma70-like,,SIG3,,GRMZM2G003182,
700004,ZmSIG4,Sigma70-like,Zm00001eb169360,SIG2A,,Zm00001eb169360 GRMZM2G143392 Zm00001d049160,
700005,ZmSIG5,Sigma70-like,Zm00001eb172090,SIG1B,,GRMZM2G543629 Zm00001eb172090 Zm00001d049494,2
700006,ZmSIG6,Sigma70-like,Zm00001eb210370,SIG6,pUT1442,Zm00001eb210370 GRMZM2G144196 Zm00001d012810,
700007,ZmSIG7,Sigma70-like,Zm00001eb297490,SIG7,pUT5580,GRMZM5G830932 Zm00001d039181 Zm00001eb297490,
700008,ZmSIG8,Sigma70-like,Zm00001eb297590,SIG8,,Zm00001d039194 Zm00001eb297590 GRMZM2G077436,1
700009,ZmSIG9,Sigma70-like,Zm00001eb415360,SIG1A,pUT5742,Zm00001d024507 Zm00001eb415360 GRMZM2G006736,1
710002,ZmTAZ2,TAZ,Zm00001eb135220,,,Zm00001eb135220 Zm00001d041378 GRMZM2G069886,2
710003,ZmTAZ3,TAZ,Zm00001eb246190,,pUT4442,GRMZM2G121115 Zm00001eb246190 Zm00001d017101,1
710004,ZmTAZ4,TAZ,Zm00001eb231830,,,GRMZM2G139977 Zm00001d015209 Zm00001eb231830,1
710005,ZmTAZ5,TAZ,Zm00001eb030540,HAC101B,,GRMZM2G335438 Zm00001d030914 Zm00001eb030540,1
710006,ZmTAZ6,TAZ,Zm00001eb209230,,pUT4540,Zm00001d054003 Zm00001eb209230 GRMZM2G470556,2
710007,ZmTAZ7,TAZ,Zm00001eb145030,,pUT1432,GRMZM5G807064 Zm00001eb145030 Zm00001d042549,
710008,ZmTAZ8,TAZ,Zm00001eb425100,,,Zm00001eb425100 Zm00001d025707,
720001,ZmTCP1,TCP,Zm00001eb054440,TB1,pUT5978,AC233950.1_FG002 Zm00001d033673 Zm00001eb054440,
720002,ZmTCP2,TCP,Zm00001eb200960,TCPTF2,pUT3442,Zm00001eb200960 Zm00001eb200970 Zm00001d053020 GRMZM2G003944,
720003,ZmTCP3,TCP,Zm00001eb099370,WAB1,,GRMZM2G110242 Zm00001d005737 Zm00001eb099370,2
720004,ZmTCP4,TCP,Zm00001eb259370,TCPTF4,pUT5634,Zm00001eb259370 Zm00001d018530 GRMZM2G445944,1
720005,ZmTCP5,TCP,Zm00001eb059920,TCPTF5,pUT3363,GRMZM2G115516 Zm00001eb059920 Zm00001d034353,1
720006,ZmTCP6,TCP,Zm00001eb216630,TCPTF6,pUT4097,AC190734.2_FG003 Zm00001d013467 Zm00001eb216630,2
720007,ZmTCP7,TCP,Zm00001eb353030,TCPTF7,pUT3365,Zm00001eb353030 Zm00001d010730 GRMZM2G035944,
720008,ZmTCP8,TCP,Zm00001eb142960,TCPTF8,pUT3364,Zm00001d042305 Zm00001eb142960 GRMZM2G092214,1
720009,ZmTCP9,TCP,Zm00001eb372490,TCPTF9,,Zm00001d044836 GRMZM2G113888 Zm00001eb372490,1
720010,ZmTCP10,TCP,Zm00001eb279580,TCPTF10,pUT3376,GRMZM2G142751 Zm00001d037221 Zm00001eb279580,2
720011,ZmTCP11,TCP,Zm00001eb041640,TCPTF11,pUT5707,GRMZM2G166687 Zm00001d032217 Zm00001eb041640,1
720012,ZmTCP12,TCP,Zm00001eb408080,TCPTF12,pUT3645,Zm00001eb408080 Zm00001eb408090 Zm00001d023565 GRMZM2G093895,
720013,ZmTCP13,TCP,Zm00001eb164370,TCPTF13,,Zm00001d001971 Zm00001eb164370 GRMZM2G359599 Zm00001d048591,
720014,ZmTCP14,TCP,Zm00001eb427010,TCPTF14,pUT5635,Zm00001eb427010 GRMZM2G465091 Zm00001d025896 Zm00001eb427020,2
720015,ZmTCP15,TCP,Zm00001eb179560,TCPTF15,pUT3439,GRMZM2G060319 Zm00001eb179560 Zm00001d050389,2
720016,ZmTCP16,TCP,Zm00001eb248270,TCPTF16,pUT5638,Zm00001eb248270 Zm00001d017350 GRMZM2G178603,1
720017,ZmTCP17,TCP,Zm00001eb421220,TCPTF17,,GRMZM2G458087 GRMZM2G155962 Zm00001d025250 Zm00001d025249 Zm00001eb421220,
720018,ZmTCP18,TCP,Zm00001eb312380,TCPTF18,,Zm00001d020433 GRMZM2G064628 Zm00001eb312380,1
720019,ZmTCP19,TCP,Zm00001eb103060,TCPTF19,pUT3366,AC199782.5_FG003 Zm00001d006165 Zm00001eb103060,2
720020,ZmTCP20,TCP,Zm00001eb364110,TCPTF20,,GRMZM2G034638 GRMZM2G330719 Zm00001d011985 Zm00001eb364110 Zm00001eb364120,2
720021,ZmTCP21,TCP,Zm00001eb037480,TCPTF21,,Zm00001eb037480 GRMZM2G107031 Zm00001d031725,1
720022,ZmTCP22,TCP,Zm00001eb185180,TCPTF22,,Zm00001d051154 Zm00001eb185180 GRMZM2G135461,
720023,ZmTCP23,TCP,Zm00001eb292690,TCPTF23,pUT6189,GRMZM2G120151 Zm00001eb292690 Zm00001d038683,
720024,ZmTCP24,TCP,,TCPTF24,,GRMZM2G015037 Zm00001d008919,2
720025,ZmTCP25,TCP,Zm00001eb185560,TCPTF25,,GRMZM2G078077 Zm00001eb185560 Zm00001d051216,2
720026,ZmTCP26,TCP,Zm00001eb254600,TCPTF26,pUT6206,Zm00001eb254600 GRMZM2G077755 Zm00001d018045,1
720027,ZmTCP27,TCP,Zm00001eb113670,TCPTF27,pUT4218,GRMZM2G414114 Zm00001eb113670,2
720028,ZmTCP28,TCP,,TCPTF28,,GRMZM2G062711,
720029,ZmTCP29,TCP,Zm00001eb370770,TCPTF29,,GRMZM2G148022 Zm00001d012725 Zm00001eb370770,
720030,ZmTCP30,TCP,Zm00001eb152350,TCPTF30,pUT6143,Zm00001eb152350 GRMZM2G166946 Zm00001d043368,
720031,ZmTCP31,TCP,,TCPTF31,,Zm00001d041866 GRMZM2G089638,
720032,ZmTCP32,TCP,,TCPTF32,,GRMZM2G031905,
720033,ZmTCP33,TCP,Zm00001eb120010,TCPTF33,,Zm00001eb120010 AC205574.3_FG006 Zm00001eb120020 Zm00001d039371,1
720034,ZmTCP34,TCP,,TCPTF34,,AC234521.1_FG006 Zm00001d002818,
720035,ZmTCP35,TCP,,TCPTF35,,GRMZM2G055024 Zm00001d048674,
720036,ZmTCP36,TCP,Zm00001eb421510,TCPTF36,,GRMZM2G424261 Zm00001eb421510 Zm00001d025295,
720037,ZmTCP37,TCP,,TCPTF37,,GRMZM2G088440 Zm00001d005763,2
720038,ZmTCP38,TCP,Zm00001eb328570,TCPTF38,pUT3063,GRMZM2G180568 Zm00001eb328570 Zm00001d022256,
720039,ZmTCP39,TCP,,TCPTF39,,GRMZM2G170232 Zm00001d049645 Zm00001d049646,
720040,ZmTCP40,TCP,Zm00001eb419680,TCPTF40,pUT3971,GRMZM2G096610 Zm00001d025033 Zm00001eb419680,2
720041,ZmTCP41,TCP,Zm00001eb091630,TCPTF41,pUT4224,Zm00001d004791 Zm00001eb091630 GRMZM2G416524,
720042,ZmTCP42,TCP,Zm00001eb036400,TCPTF42,,AC213524.3_FG003 Zm00001d031597 Zm00001eb036400 Zm00001eb036410,
720043,ZmTCP43,TCP,Zm00001eb117560,TCPTF43,,Zm00001eb117560 GRMZM2G020805 Zm00001d007868,2
720044,ZmTCP44,TCP,Zm00001eb213430,TCPTF44,,Zm00001d013119 Zm00001eb213430 GRMZM2G089361,2
720045,ZmTCP45,TCP,Zm00001eb028880,,,Zm00001d030684 Zm00001eb028880,
720046,ZmTCP46,TCP,Zm00001eb194490,,,Zm00001eb194490 Zm00001d052256 Zm00001eb194480,
730001,ZmTRAF1,TRAF,Zm00001eb328550,MAB1,pUT5735,Zm00001d022253 Zm00001eb328550 AC195147.3_FG001,
730002,ZmTRAF2,TRAF,Zm00001eb378460,,pUT5975,GRMZM2G000909 Zm00001eb378460 Zm00001d045494,1
730003,ZmTRAF3,TRAF,Zm00001eb114430,,,GRMZM2G000936 Zm00001eb114430 Zm00001d007522,2
730005,ZmTRAF5,TRAF,Zm00001eb389910,MAB20,,GRMZM2G009724 Zm00001d046968 Zm00001eb389910,
730006,ZmTRAF6,TRAF,Zm00001eb142310,,,Zm00001d042234 Zm00001eb142310 GRMZM2G017404,1
730007,ZmTRAF7,TRAF,Zm00001eb405060,,pUT4613,Zm00001eb405060 GRMZM2G022606 Zm00001d023246,1
730008,ZmTRAF8,TRAF,Zm00001eb093200,,pUT6730,Zm00001d004966 Zm00001eb093200 GRMZM2G026556,2
730009,ZmTRAF9,TRAF,Zm00001eb035940,,,Zm00001eb035940 GRMZM2G026664,1
730010,ZmTRAF10,TRAF,Zm00001eb170960,,pUT4451,Zm00001d049350 Zm00001eb170960 GRMZM2G026724,2
730011,ZmTRAF11,TRAF,Zm00001eb278060,nan,,Zm00001d037051 Zm00001eb278060 GRMZM2G038691,2
730012,ZmTRAF12,TRAF,Zm00001eb035890,,pUT5979,Zm00001eb035890 Zm00001d031549 GRMZM2G337139 GRMZM2G040509 Zm00001eb035900,1
730012,ZmTRAF12,TRAF,Zm00001eb035890,,pUT5736,Zm00001eb035890 Zm00001d031549 GRMZM2G337139 GRMZM2G040509 Zm00001eb035900,1
730013,ZmTRAF13,TRAF,Zm00001eb414130,MAB28,,Zm00001eb414130 GRMZM2G041963 Zm00001d024351,1
730014,ZmTRAF14,TRAF,Zm00001eb409490,MAB22,pUT4621,Zm00001eb409490 Zm00001d023740 GRMZM2G046238,
730015,ZmTRAF15,TRAF,Zm00001eb276280,,pUT5665,GRMZM2G048192 Zm00001d036840 Zm00001eb276280,
730016,ZmTRAF16,TRAF,Zm00001eb219190,nan,,GRMZM2G048281 Zm00001d013741 Zm00001eb219190,2
730017,ZmTRAF17,TRAF,Zm00001eb118370,MAB14,pUT5332,Zm00001eb118370 GRMZM2G052985 Zm00001d007888,2
730018,ZmTRAF18,TRAF,Zm00001eb363100,,pUT5745,Zm00001d011878 GRMZM2G060723 Zm00001eb363100,2
730019,ZmTRAF19,TRAF,Zm00001eb060340,MAB18,,Zm00001eb060340 GRMZM2G060765 Zm00001d034400,1
730020,ZmTRAF20,TRAF,Zm00001eb370160,,,GRMZM2G076450 Zm00001d012660 Zm00001eb370160,2
730021,ZmTRAF21,TRAF,Zm00001eb121040,PZA03527,,Zm00001eb121040 Zm00001d039469 GRMZM2G077197,1
730022,ZmTRAF22,TRAF,Zm00001eb049070,MAB11,,GRMZM2G077428 Zm00001d033082 Zm00001eb049070,
730023,ZmTRAF23,TRAF,Zm00001eb418740,MAB29,,Zm00001eb418740 Zm00001d024915 GRMZM2G077951,
730024,ZmTRAF24,TRAF,Zm00001eb174790,MAB4,pUT5737,GRMZM2G081441 Zm00001eb174790 Zm00001d049774,2
730025,ZmTRAF25,TRAF,Zm00001eb274310,MAB25,pUT5658,Zm00001d036646 Zm00001eb274310 GRMZM2G088086,
730026,ZmTRAF26,TRAF,Zm00001eb363540,,,Zm00001d011923 Zm00001eb363540 GRMZM2G095510,2
730027,ZmTRAF27,TRAF,Zm00001eb349910,,,Zm00001d010341 Zm00001eb349910 GRMZM2G098227,
730028,ZmTRAF28,TRAF,Zm00001eb287530,,pUT6575,Zm00001eb287530 Zm00001d038134 GRMZM2G100946,1
730029,ZmTRAF29,TRAF,Zm00001eb274300,MAB24,pUT5551,Zm00001eb274300 GRMZM2G103251 Zm00001d036643,
730030,ZmTRAF30,TRAF,Zm00001eb305500,MAB21,pUT6675,GRMZM2G109738 Zm00001eb305500 Zm00001d019441,
730031,ZmTRAF31,TRAF,Zm00001eb200590,,pUT6277,Zm00001eb200590 Zm00001d052974 GRMZM2G118082,1
730032,ZmTRAF32,TRAF,Zm00001eb273960,,pUT4615,Zm00001eb273960 Zm00001d036611 GRMZM2G128485,2
730033,ZmTRAF33,TRAF,Zm00001eb199410,,,Zm00001d052837 GRMZM2G130505 Zm00001eb199410,2
730034,ZmTRAF34,TRAF,Zm00001eb274280,MAB23,pUT6518,GRMZM2G143782 Zm00001eb274280 Zm00001d036641,
730035,ZmTRAF35,TRAF,Zm00001eb065610,MAB10,,GRMZM2G154437 Zm00001d001767 Zm00001eb065610,
730036,ZmTRAF36,TRAF,Zm00001eb414110,MAB27,pUT6706,GRMZM2G161569 Zm00001d024349 Zm00001eb414110,1
730037,ZmTRAF37,TRAF,Zm00001eb274320,MAB26,pUT5330,Zm00001d036647 Zm00001eb274320 GRMZM2G161610,
730038,ZmTRAF38,TRAF,Zm00001eb428440,,pUT6676,GRMZM2G162640 Zm00001eb428440 Zm00001d026051,2
730039,ZmTRAF39,TRAF,Zm00001eb198850,,pUT5530,Zm00001d052768 GRMZM2G163671 Zm00001eb198850,
730040,ZmTRAF40,TRAF,Zm00001eb281240,,,Zm00001eb281240 Zm00001d037420 GRMZM2G164669,2
730041,ZmTRAF41,TRAF,Zm00001eb304620,nan,,GRMZM2G320703 Zm00001d019328 Zm00001eb304620,1
730042,ZmTRAF42,TRAF,Zm00001eb203840,nan,,AC205834.3_FG003 Zm00001d053354 Zm00001eb203840 GRMZM2G350711,2
730043,ZmTRAF43,TRAF,Zm00001eb174850,MAB5,pUT4813,Zm00001d049781 Zm00001eb174850 GRMZM2G372171,2
730044,ZmTRAF44,TRAF,Zm00001eb035910,MAB2,pUT5739,GRMZM2G404188 Zm00001eb035910 Zm00001d031550,1
730045,ZmTRAF45,TRAF,Zm00001eb166870,MAB9,pUT5740,Zm00001d048843 Zm00001eb166870 GRMZM2G574887,
730046,ZmTRAF46,TRAF,Zm00001eb306050,BPD1,,GRMZM5G805008 Zm00001d019513 Zm00001eb306050,
730047,ZmTRAF47,TRAF,Zm00001eb144120,ZmTAZ1,pUT6508,Zm00001eb144120 GRMZM2G004161 Zm00001d042443,1
730048,ZmTRAF48,TRAF,Zm00001eb310110,,,Zm00001d020120 Zm00001eb310110,
730049,ZmTRAF49,TRAF,Zm00001eb058760,,,GRMZM2G085189 Zm00001d034194 Zm00001eb058760,
730050,ZmTRAF50,TRAF,Zm00001eb305650,,,Zm00001eb305650 GRMZM2G364697 Zm00001d019456,
730051,ZmTRAF51,TRAF,Zm00001eb213160,ZmOrphan133,pUT6013,Zm00001eb213160 Zm00001d013094 GRMZM2G166049,2
730052,ZmTRAF52,TRAF,Zm00001eb409110,,,Zm00001eb409110,
730053,ZmTRAF53,TRAF,Zm00001eb320450,,,GRMZM2G436511 Zm00001eb320450 Zm00001d021387,1
730054,ZmTRAF54,TRAF,Zm00001eb047620,ZmOrphan129,,GRMZM2G027688 Zm00001eb047620,1
730055,ZmTRAF55,TRAF,Zm00001eb110590,ZmOrphan47,pUT6011,GRMZM2G172210 Zm00001eb110590 Zm00001d007068,2
730056,ZmTRAF56,TRAF,Zm00001eb262710,,,Zm00001eb262710,
730057,ZmTRAF57,TRAF,Zm00001eb329510,ZmOrphan18,pUT6028,Zm00001d022366 GRMZM2G148213 Zm00001eb329510,1
730058,ZmTRAF58,TRAF,Zm00001eb300900,ZmOrphan267,pUT6514,Zm00001eb300900 Zm00001d018887 Zm00001d042774 Zm00001eb147200 GRMZM2G060276 GRMZM2G074323,1
730059,ZmTRAF59,TRAF,Zm00001eb222950,ZmOrphan5,pUT5198,GRMZM2G418031 Zm00001d014165 Zm00001eb222950,2
730060,ZmTRAF60,TRAF,Zm00001eb141160,,,Zm00001eb141160 Zm00001eb141180 GRMZM2G039867 Zm00001d042111,1
730061,ZmTRAF61,TRAF,Zm00001eb210260,,,Zm00001d012798 Zm00001eb210260,
740001,ZmTUB1,TUB,Zm00001eb360160,TUBTF1,pUT1397,Zm00001eb360160 GRMZM2G068586 Zm00001d011578,
740002,ZmTUB2,TUB,Zm00001eb146720,TUBTF2,pUT3040,Zm00001eb146720 Zm00001d042724 GRMZM5G866954,
740003,ZmTUB3,TUB,Zm00001eb202420,TUBTF3,pUT6073,Zm00001eb202420 Zm00001d053179 GRMZM2G046816,1
740004,ZmTUB4,TUB,Zm00001eb076160,TUBTF4,pUT5884,Zm00001eb076160 Zm00001d002896 GRMZM2G108228,1
740005,ZmTUB5,TUB,Zm00001eb292770,TUBTF5,,Zm00001d038691 GRMZM2G435445 Zm00001eb292770,
740006,ZmTUB6,TUB,Zm00001eb188370,TUBTF6,pUT3042,Zm00001d051568 GRMZM2G176340 Zm00001eb188370,2
740007,ZmTUB7,TUB,Zm00001eb198820,TUBTF7,pUT3142,GRMZM2G163726 Zm00001d052765 Zm00001eb198820,
740008,ZmTUB8,TUB,Zm00001eb233920,TUBTF8,pUT6095,Zm00001d015485 Zm00001eb233920 GRMZM2G472945,1
740009,ZmTUB9,TUB,Zm00001eb252060,TUBTF9,,GRMZM2G115701 Zm00001d017773 Zm00001eb252060,1
740010,ZmTUB10,TUB,Zm00001eb289070,TUBTF10,,GRMZM2G129288 Zm00001eb289070 Zm00001d038310,1
740011,ZmTUB11,TUB,Zm00001eb016930,TUBTF11,,Zm00001eb016930 GRMZM2G378907 Zm00001d029165,1
740012,ZmTUB12,TUB,Zm00001eb367600,TUBTF12,,GRMZM5G871407 GRMZM5G806742 Zm00001d012373 Zm00001eb367600,
740013,ZmTUB13,TUB,Zm00001eb390360,TUBTF13,,Zm00001eb390360 GRMZM2G349376 Zm00001d047019 Zm00001eb390350,
740014,ZmTUB14,TUB,Zm00001eb407690,TUBTF14,pUT6047,Zm00001eb407690 GRMZM2G301122 Zm00001eb407680 Zm00001d023523 GRMZM2G001272,
740014,ZmTUB14,TUB,Zm00001eb407690,TUBTF14,pUT6123,Zm00001eb407690 GRMZM2G301122 Zm00001eb407680 Zm00001d023523 GRMZM2G001272,
740015,ZmTUB15,TUB,Zm00001eb157040,TUBTF15,,Zm00001d043895 GRMZM2G062154 Zm00001eb157040,
740016,ZmTUB16,TUB,Zm00001eb110940,,,Zm00001d007106 Zm00001eb110940 GRMZM2G053311 Zm00001eb110950,2
740017,ZmTUB17,TUB,Zm00001eb166300,,,Zm00001d048782 Zm00001eb166300 GRMZM2G089830,
740018,ZmTUB18,TUB,Zm00001eb383010,,,Zm00001eb383010 Zm00001eb383020,
740019,ZmTUB19,TUB,Zm00001eb123760,,,Zm00001d039784 Zm00001eb123760,
740020,ZmTUB20,TUB,Zm00001eb272030,,,Zm00001eb272030 Zm00001d036362,
750001,ZmTHX1,Trihelix,Zm00001eb295700,THX1,,Zm00001d038994 Zm00001eb295700 GRMZM2G157219,1
750002,ZmTHX2,Trihelix,Zm00001eb423330,THX2,pUT1856 pUT1857,Zm00001d025514 Zm00001eb423330 GRMZM2G392168,2
750003,ZmTHX3,Trihelix,,THX10,,GRMZM2G415229 Zm00001d026245,2
750004,ZmTHX4,Trihelix,Zm00001eb023870,THX4,pUT5897,Zm00001d029974 GRMZM2G481163 Zm00001eb023870,1
750005,ZmTHX5,Trihelix,Zm00001eb265100,THX5,,GRMZM2G016637 Zm00001d035457 Zm00001eb265100,1
750006,ZmTHX6,Trihelix,Zm00001eb361590,THX6,pUT4975,Zm00001d011730 Zm00001eb361590 GRMZM2G339957,2
750008,ZmTHX8,Trihelix,Zm00001eb033570,THX8,pUT5898,Zm00001eb033570 GRMZM2G379179 Zm00001d031266,1
750013,ZmTHX13,Trihelix,Zm00001eb199110,THX3,pUT1103,GRMZM5G850092 Zm00001d052798 Zm00001eb199110,
750014,ZmTHX14,Trihelix,Zm00001eb360120,THX14,,Zm00001eb360120 GRMZM2G163157 Zm00001d011571,2
750015,ZmTHX15,Trihelix,Zm00001eb081720,THX15,pUT5899,Zm00001d003549 Zm00001eb081720 GRMZM2G021831,1
750017,ZmTHX17,Trihelix,Zm00001eb157080,THX17,pUT5900,Zm00001eb157080 GRMZM2G080583 Zm00001d043902,1
750019,ZmTHX19,Trihelix,Zm00001eb220250,THX19,,Zm00001eb220250 GRMZM2G414159 Zm00001d013849,
750021,ZMTHX21,Trihelix,Zm00001eb209880,THX21,,Zm00001d054080 GRMZM2G037128 Zm00001eb209880,2
750022,ZmTHX22,Trihelix,Zm00001eb229400,THX22,,Zm00001eb229400 Zm00001d014938 GRMZM2G111760,1
750023,ZmTHX23,Trihelix,Zm00001eb071780,THX23,pUT4815,Zm00001eb071780 Zm00001d002424 GRMZM2G156348,1
750024,ZmTHX24,Trihelix,Zm00001eb244400,THX24,,GRMZM2G380094 Zm00001d016876 Zm00001eb244400,1
750026,ZmTHX26,Trihelix,Zm00001eb084300,THX26,pUT6235,GRMZM2G002978 Zm00001d003836 Zm00001eb084300,1
750027,ZmTHX27,Trihelix,,THX7,,GRMZM2G023119 Zm00001d030350,
750028,ZmTHX28,Trihelix,,THX9,,GRMZM2G037493 Zm00001d031391,
750029,ZmTHX29,Trihelix,Zm00001eb395650,THX29,,GRMZM2G326783 Zm00001d047589 Zm00001eb395650,
750030,ZmTHX30,Trihelix,Zm00001eb390920,THX28,pUT5902,GRMZM2G428470 Zm00001eb390920 Zm00001d000045 Zm00001eb390910,2
750031,ZmTHX31,Trihelix,Zm00001eb427790,,pUT6044,GRMZM2G427087 Zm00001eb427790 Zm00001d025982,2
750032,ZmTHX32,Trihelix,Zm00001eb075070,,pUT6045,Zm00001d002782 Zm00001eb075070 GRMZM2G320827 Zm00001eb075080,1
750033,ZmTHX33,Trihelix,Zm00001eb421380,,,Zm00001d025275 Zm00001eb421380 GRMZM2G149590,2
750034,ZmTHX34,Trihelix,Zm00001eb180800,,,GRMZM2G162840 Zm00001eb180800 Zm00001d050583,2
750035,ZmTHX35,Trihelix,Zm00001eb066770,,,Zm00001eb066770 Zm00001d001894 GRMZM2G081445,1
750036,ZmTHX36,Trihelix,,nan,,GRMZM2G476752,
750037,ZmTHX37,Trihelix,Zm00001eb233350,,,Zm00001d015412 Zm00001eb233350 GRMZM2G334722 Zm00001eb233360,1
750038,ZmTHX38,Trihelix,Zm00001eb202410,,pUT6046,Zm00001eb202410 Zm00001d053178 GRMZM2G126148,1
750039,ZmTHX39,Trihelix,Zm00001eb407690,,pUT6047,Zm00001eb407690 GRMZM2G301122 Zm00001eb407680 Zm00001d023523 GRMZM2G001272,1
750040,ZmTHX40,Trihelix,Zm00001eb181760,,,GRMZM2G469873 Zm00001d050698 Zm00001eb181760,2
750041,ZmTHX41,Trihelix,Zm00001eb130740,,,Zm00001eb130740 Zm00001d040682 GRMZM5G818655,
750042,ZmTHX42,Trihelix,Zm00001eb243260,,pUT6048,GRMZM2G037823 Zm00001d016755 Zm00001eb243260,1
750043,ZmTHX43,Trihelix,,nan,,GRMZM2G103315,
750044,ZmTHX44,Trihelix,Zm00001eb234620,THX13,,GRMZM2G134439 Zm00001d015603 Zm00001d015605 GRMZM2G134419 GRMZM2G134393 Zm00001eb234620,
750045,ZmTHX45,Trihelix,Zm00001eb425230,THX25,pUT6049,GRMZM2G047370 Zm00001eb425230 Zm00001d025720,2
750046,ZmTHX46,Trihelix,Zm00001eb148360,THX27,,AC209784.3_FG011 Zm00001d042917 Zm00001eb148360 Zm00001eb148370,
750047,ZmTHX47,Trihelix,Zm00001eb427630,,,Zm00001d025960 Zm00001eb427630,
750048,ZmTHX48,Trihelix,Zm00001eb340550,,,Zm00001eb340550 Zm00001d009160 GRMZM2G305362,2
750049,ZmTHX49,Trihelix,Zm00001eb085990,,,Zm00001d004041 Zm00001eb085990,
750050,ZmTHX50,Trihelix,Zm00001eb320470,,,Zm00001eb320470 Zm00001d021389 GRMZM2G375307,1
750051,ZmTHX51,Trihelix,Zm00001eb104640,,,Zm00001d006331 GRMZM2G153575 Zm00001eb104640,2
